[216.063, 3468.476, 6723.739]
[214.929, 3468.476, 6722.782]
[214.929, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3467.071, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3459.844, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3455.453, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
[214.817, 3452.221, 6722.782]
